Program_studi,Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Probabilitas_dropout,Level_risiko
Agronomy,42,9003,1,140.0,140.0,1,0,1,1,0,23,6,14,5,12.0,6,12,5,12.142857142857142,0.534,Tinggi
Basic Education,18,9853,1,123.0,123.7,1,0,1,0,0,19,6,8,5,12.666666666666666,6,8,5,11.0,0.5317,Tinggi
Animation and Multimedia Design,1,171,1,136.0,152.5,1,0,1,0,0,20,0,0,0,0.0,0,0,0,0.0,0.5314,Tinggi
Animation and Multimedia Design,1,171,1,125.0,136.2,1,1,1,1,0,21,12,12,11,11.545454545454543,11,18,9,11.7,0.5306,Tinggi
Animation and Multimedia Design,43,171,1,133.0,133.0,0,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.5293,Tinggi
Tourism,39,9254,1,133.1,119.3,1,0,1,1,0,25,6,7,6,11.166666666666666,6,11,4,11.8,0.5292,Tinggi
Management,17,9147,1,127.0,124.6,1,0,1,0,1,19,5,12,2,10.0,5,11,4,11.75,0.5281,Tinggi
Animation and Multimedia Design,1,171,1,165.0,163.6,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,0.5279,Tinggi
Management (evening),39,9991,0,110.0,127.1,0,0,1,0,0,34,5,9,4,11.0,5,10,4,10.75,0.5277,Tinggi
Management (evening),39,9991,0,133.1,127.7,0,0,1,0,0,25,5,12,4,12.5,5,10,4,11.0,0.5273,Tinggi
Nursing,1,9500,1,135.0,135.4,1,0,1,1,0,21,7,9,6,12.565,8,12,5,12.16,0.5271,Tinggi
Veterinary Nursing,44,9085,1,130.0,130.0,1,0,1,0,0,21,6,13,3,11.75,6,13,5,12.333333333333334,0.5238,Tinggi
Social Service,43,9238,1,122.0,114.3,1,0,1,0,0,22,10,15,8,11.0,7,16,5,11.2,0.5233,Tinggi
Basic Education,17,9853,1,118.0,121.2,1,0,1,0,0,18,6,8,5,13.4,6,7,5,12.0,0.5227,Tinggi
Tourism,1,9254,1,154.0,137.2,0,0,1,1,0,20,6,12,3,10.0,6,9,5,10.8,0.5223,Tinggi
Social Service,17,9238,1,130.0,122.0,1,0,1,0,1,21,6,8,1,10.0,6,13,5,11.4,0.5221,Tinggi
Informatics Engineering,1,9119,1,126.0,130.2,0,0,1,1,0,19,5,7,5,10.2,5,8,3,12.0,0.5205,Tinggi
Nursing,1,9500,1,106.0,102.2,1,1,1,1,0,20,7,7,7,12.401428571428571,8,10,6,11.808333333333332,0.5203,Tinggi
Equinculture,1,9130,1,130.0,117.6,0,0,1,1,0,19,5,14,2,11.5,5,8,5,11.4,0.5151,Tinggi
Management (evening),39,9991,0,100.0,140.0,0,0,1,1,0,39,5,7,4,12.25,5,7,4,12.75,0.5132,Tinggi
Veterinary Nursing,1,9085,1,133.1,115.0,1,0,1,0,0,21,5,8,3,11.333333333333334,5,8,3,13.333333333333334,0.5112,Tinggi
Social Service (evening),39,8014,0,133.1,100.0,0,1,1,0,0,37,8,12,7,11.375,7,10,6,12.166666666666666,0.5093,Tinggi
Management,1,9147,1,138.0,131.0,1,0,1,0,0,19,5,9,4,11.0,5,8,3,10.666666666666666,0.5086,Tinggi
Advertising and Marketing Management,1,9670,1,127.0,118.3,1,0,1,0,0,18,6,7,6,12.333333333333334,6,10,3,12.0,0.5086,Tinggi
Management,1,9147,1,133.0,121.8,0,0,1,1,0,20,5,9,4,10.2,5,6,3,11.0,0.5082,Tinggi
Agronomy,44,9003,1,130.0,130.0,1,0,1,1,0,20,6,12,4,11.6,6,11,5,11.5,0.5073,Tinggi
Basic Education,1,9853,1,120.0,115.1,0,0,1,0,1,18,6,11,4,12.0,6,8,4,10.75,0.5064,Tinggi
Social Service (evening),39,8014,0,140.0,105.0,0,0,1,0,0,26,6,14,3,10.666666666666666,6,9,5,11.2,0.5063,Tinggi
Advertising and Marketing Management,43,9670,1,142.0,138.5,1,0,1,1,0,18,6,16,5,13.8,6,7,5,12.4,0.5054,Tinggi
Management,17,9147,1,120.0,124.2,1,0,1,1,0,18,5,13,5,12.0,5,9,4,11.4,0.504,Tinggi
Management,39,9147,1,120.0,124.6,0,0,1,0,0,36,5,8,3,11.0,5,12,4,13.375,0.4989,Sedang
Management,7,9147,1,110.0,110.0,0,0,1,0,0,33,8,10,6,12.833333333333334,5,8,4,12.0,0.4957,Sedang
Advertising and Marketing Management,1,9670,1,121.0,122.4,1,0,1,1,0,19,5,7,3,11.666666666666666,5,5,4,12.0,0.4937,Sedang
Basic Education,1,9853,1,123.0,121.6,1,0,1,0,0,18,7,12,5,12.0,7,9,6,12.666666666666666,0.4918,Sedang
Veterinary Nursing,1,9085,1,129.0,125.9,1,0,1,0,0,19,5,13,4,12.0,5,8,3,12.0,0.4884,Sedang
Management (evening),39,9991,0,150.0,138.5,0,0,1,0,0,26,5,10,4,12.0,5,9,4,11.25,0.4857,Sedang
Advertising and Marketing Management,17,9670,1,110.0,111.3,0,0,1,1,0,21,6,10,6,12.285714285714286,6,11,4,14.25,0.4853,Sedang
Informatics Engineering,1,9119,1,121.0,114.0,0,0,1,1,0,20,5,9,4,11.6,5,7,4,12.25,0.4841,Sedang
Advertising and Marketing Management,39,9670,1,100.0,100.0,0,0,1,0,0,35,5,8,5,11.4,5,7,3,12.333333333333334,0.4841,Sedang
Animation and Multimedia Design,17,171,1,141.0,136.1,1,0,1,0,1,18,0,0,0,0.0,0,0,0,0.0,0.4829,Sedang
Social Service (evening),39,8014,0,140.0,172.0,0,0,1,1,0,44,11,21,9,12.333333333333334,11,16,9,11.0,0.4825,Sedang
Informatics Engineering,39,9119,1,133.1,123.0,0,0,1,1,1,28,5,16,3,14.333333333333334,5,9,5,12.428571428571429,0.4807,Sedang
Biofuel Production Technologies,15,33,1,133.1,100.0,0,0,1,1,0,20,7,10,7,12.857142857142858,7,7,4,12.75,0.4804,Sedang
Journalism and Communication,1,9773,1,135.0,136.1,1,0,1,1,0,19,6,9,5,11.4,6,13,5,12.4,0.4782,Sedang
Animation and Multimedia Design,16,171,1,158.0,164.3,1,0,1,1,1,18,0,0,0,0.0,0,0,0,0.0,0.4776,Sedang
Basic Education,1,9853,1,122.0,112.6,1,0,1,0,0,23,6,8,5,13.6,6,8,5,11.6,0.4765,Sedang
Management,1,9147,1,130.0,131.8,1,0,1,0,1,19,5,8,2,10.5,5,11,3,13.333333333333334,0.4752,Sedang
Management,39,9147,1,140.0,108.0,0,0,1,0,0,50,5,12,3,13.333333333333334,5,8,5,12.2,0.4747,Sedang
Nursing,39,9500,1,130.0,163.7,0,0,1,0,0,35,7,11,5,13.34,7,9,5,10.84,0.4733,Sedang
Basic Education,16,9853,1,134.0,121.1,1,0,1,0,0,19,6,8,5,12.2,6,8,5,11.8,0.4718,Sedang
Informatics Engineering,1,9119,1,117.0,111.1,0,0,1,1,1,19,5,10,5,11.8,5,12,3,11.5,0.4715,Sedang
Agronomy,44,9003,1,150.0,150.0,0,0,1,1,0,21,6,15,5,11.857142857142858,6,17,5,10.571428571428571,0.4712,Sedang
Basic Education,1,9853,1,129.0,126.9,1,0,1,0,1,19,6,9,5,12.2,6,10,4,11.5,0.4711,Sedang
Basic Education,1,9853,1,127.0,137.2,1,0,1,0,0,18,6,7,6,12.166666666666666,6,10,4,12.75,0.4696,Sedang
Nursing,1,9500,1,133.0,126.7,0,0,1,0,0,19,7,12,4,12.45,7,11,5,11.7,0.4667,Sedang
Nursing,1,9500,1,120.0,114.8,1,0,1,0,0,21,7,11,4,13.25,7,9,5,13.82,0.4646,Sedang
Management,1,9147,1,120.0,111.6,0,1,1,1,1,21,5,5,5,12.6,5,9,3,12.833333333333334,0.463,Sedang
Basic Education,1,9853,1,132.0,125.0,1,0,1,0,0,18,6,9,5,12.6,6,8,5,11.4,0.4608,Sedang
Equinculture,44,9130,1,130.0,130.0,1,0,1,0,1,20,6,11,4,12.0,6,9,4,10.75,0.4606,Sedang
Veterinary Nursing,1,9085,1,133.0,119.7,1,0,1,0,0,21,5,13,5,12.2,5,10,3,11.333333333333334,0.4599,Sedang
Tourism,17,9254,1,120.0,125.5,0,0,1,1,0,18,5,6,5,12.0,5,8,3,11.333333333333334,0.4594,Sedang
Social Service (evening),39,8014,0,120.0,119.5,0,1,1,0,0,25,6,6,6,11.333333333333334,6,6,4,11.75,0.4585,Sedang
Informatics Engineering,1,9119,1,148.0,129.8,0,0,0,1,1,18,5,6,5,15.0,5,6,5,14.2,0.458,Sedang
Communication Design,51,9070,1,117.0,120.0,1,0,1,0,0,21,6,7,5,12.2,6,7,4,12.6,0.458,Sedang
Social Service,17,9238,1,138.0,133.5,1,0,1,0,1,21,6,8,3,10.2,6,13,4,12.25,0.4571,Sedang
Management,1,9147,1,128.0,121.0,1,1,1,1,0,20,5,6,5,13.2,5,10,5,11.4,0.4565,Sedang
Advertising and Marketing Management,17,9670,1,128.0,135.7,1,0,1,1,0,19,6,7,5,13.2,6,10,5,13.25,0.4537,Sedang
Management (evening),39,9991,0,133.1,130.4,0,0,1,0,0,30,5,10,3,10.666666666666666,5,8,5,10.4,0.4523,Sedang
Basic Education,1,9853,1,145.0,142.2,0,0,1,0,0,19,6,9,4,12.5,6,9,5,12.5,0.4515,Sedang
Animation and Multimedia Design,17,171,1,145.0,143.6,0,1,1,1,0,19,12,12,10,12.7,11,16,10,12.272727272727272,0.4494,Sedang
Nursing,17,9500,1,141.0,135.4,1,0,1,0,0,18,7,9,7,12.50625,8,15,5,13.2,0.4395,Sedang
Advertising and Marketing Management,1,9670,1,132.0,129.9,1,0,1,1,0,20,6,10,6,12.714285714285714,6,8,4,13.0,0.4375,Sedang
Management,1,9147,1,124.0,128.6,1,0,1,0,0,20,5,5,4,12.0,4,4,2,11.5,0.436,Sedang
Management,51,9147,1,130.0,120.0,0,0,1,0,0,21,5,9,5,12.8,5,11,3,12.666666666666666,0.4359,Sedang
Communication Design,1,9070,1,123.0,124.8,0,0,0,0,1,18,6,7,5,11.8,6,7,5,13.0,0.4349,Sedang
Basic Education,18,9853,1,120.0,115.8,0,0,1,0,0,18,7,12,6,12.0,7,11,6,12.166666666666666,0.4346,Sedang
Oral Hygiene,39,9556,1,130.0,113.3,0,0,1,0,0,24,7,15,5,12.4,8,14,7,12.15,0.4344,Sedang
Basic Education,16,9853,1,134.0,121.4,1,0,1,0,1,23,6,10,4,14.25,6,8,5,12.0,0.4344,Sedang
Advertising and Marketing Management,1,9670,1,120.0,112.0,1,0,1,0,0,18,6,10,4,11.25,6,11,5,12.2,0.4333,Sedang
Basic Education,17,9853,1,128.0,128.4,1,0,1,0,1,20,6,10,5,13.2,6,12,5,12.833333333333334,0.4299,Sedang
Basic Education,1,9853,1,124.0,121.6,0,0,1,0,0,18,6,9,5,12.333333333333334,6,10,5,10.6,0.4286,Sedang
Advertising and Marketing Management,1,9670,1,113.0,110.2,1,0,1,0,0,22,5,7,3,12.666666666666666,5,6,4,12.0,0.4284,Sedang
Management,1,9147,1,129.0,118.9,1,0,1,0,0,19,5,8,4,12.8,5,10,3,14.5,0.4265,Sedang
Social Service,17,9238,1,148.0,129.8,0,0,1,0,0,20,6,11,5,10.6,6,11,4,10.4,0.4258,Sedang
Advertising and Marketing Management,17,9670,1,115.0,117.1,0,0,1,0,0,21,5,7,3,12.666666666666666,5,6,4,12.75,0.4247,Sedang
Nursing,43,9500,1,136.0,118.4,1,0,1,0,0,21,7,12,4,13.125,7,8,6,12.333333333333334,0.4219,Sedang
Veterinary Nursing,17,9085,1,134.0,131.2,0,0,1,0,0,19,5,8,1,11.0,5,6,5,11.2,0.4195,Sedang
Veterinary Nursing,1,9085,1,145.0,138.4,1,0,0,0,0,18,6,7,6,14.833333333333334,6,8,6,12.5,0.4187,Sedang
Nursing,7,9500,1,130.0,130.0,1,0,1,0,0,32,7,16,4,13.625,7,8,7,12.6375,0.4177,Sedang
Informatics Engineering,1,9119,1,150.0,143.4,0,0,0,1,1,18,5,5,5,14.2,5,5,5,14.2,0.4174,Sedang
Basic Education,1,9853,1,126.0,116.9,1,0,1,0,0,18,7,10,6,10.666666666666666,7,12,6,12.833333333333334,0.4173,Sedang
Journalism and Communication,1,9773,1,133.0,130.2,0,0,1,1,0,19,6,9,5,12.6,10,16,8,11.0,0.4164,Sedang
Veterinary Nursing,44,9085,1,150.0,150.0,0,0,1,0,0,20,5,10,2,14.5,5,7,4,11.25,0.4163,Sedang
Social Service,1,9238,1,151.0,157.0,1,1,1,0,1,18,6,8,5,11.6,6,12,4,11.0,0.4159,Sedang
Management (evening),44,9991,0,140.0,140.0,0,0,1,0,0,41,6,10,4,12.25,7,9,6,12.5,0.4123,Sedang
Management (evening),39,9991,0,147.0,147.9,0,0,1,0,0,28,5,8,4,11.5,5,7,4,12.0,0.4104,Sedang
Nursing,1,9500,1,133.1,99.0,1,0,1,1,0,22,7,9,6,12.833333333333334,8,12,6,12.5,0.4102,Sedang
Basic Education,18,9853,1,168.0,126.8,1,0,1,1,0,18,6,7,5,12.6,6,6,6,13.0,0.4075,Sedang
Management,39,9147,1,130.0,142.5,0,0,1,0,0,39,5,8,4,11.25,5,8,4,11.5,0.4026,Sedang
Advertising and Marketing Management,1,9670,1,132.0,143.6,1,0,1,1,0,20,6,8,5,12.8,6,10,5,11.6,0.4013,Sedang
Basic Education,1,9853,1,134.0,127.4,1,0,1,0,0,18,6,7,5,12.2,6,7,5,12.2,0.4,Sedang
Advertising and Marketing Management,43,9670,1,110.0,110.0,0,0,1,0,0,21,6,8,5,11.833333333333334,6,8,4,13.25,0.3983,Sedang
Management,1,9147,1,137.0,124.4,0,0,1,0,0,19,5,6,4,11.25,5,10,3,11.714285714285714,0.3981,Sedang
Management (evening),39,9991,0,100.0,120.7,0,0,1,0,0,28,5,9,4,11.25,5,7,4,13.0,0.3961,Sedang
Animation and Multimedia Design,1,171,1,133.0,141.4,0,0,1,1,1,20,0,0,0,0.0,0,0,0,0.0,0.396,Sedang
Management,39,9147,1,140.0,131.8,0,0,1,0,0,35,5,6,4,14.2,5,10,4,11.857142857142858,0.3953,Sedang
Management,39,9147,1,133.1,139.4,0,1,1,0,0,41,5,6,5,11.6,5,8,5,12.2,0.3952,Sedang
Management (evening),39,9991,0,160.0,160.0,0,0,1,0,1,31,5,13,4,10.5,5,10,4,10.5,0.3932,Sedang
Nursing,17,9500,1,132.0,125.4,1,0,0,0,1,20,7,7,7,13.462857142857144,8,10,7,13.164285714285716,0.3922,Sedang
Nursing,1,9500,1,140.0,124.3,1,0,1,0,0,19,7,9,5,12.32,7,9,5,11.9,0.392,Sedang
Communication Design,1,9070,1,140.0,138.3,0,0,1,1,0,20,6,8,6,13.428571428571429,6,12,4,11.5,0.389,Sedang
Agronomy,39,9003,1,133.1,140.0,0,0,1,1,0,43,6,8,6,12.875,6,14,5,12.142857142857142,0.3885,Sedang
Management (evening),1,9991,0,140.0,124.6,0,0,1,0,0,29,5,11,5,11.4,5,10,4,10.25,0.3883,Sedang
Journalism and Communication,39,9773,1,133.1,133.0,0,0,1,0,0,40,6,8,5,13.0,6,7,5,12.6,0.3881,Sedang
Advertising and Marketing Management,1,9670,1,120.0,115.1,0,0,1,0,0,19,6,8,3,11.666666666666666,6,11,5,13.625,0.3863,Sedang
Management (evening),43,9991,0,140.0,107.8,0,0,1,0,0,33,10,15,8,10.375,10,13,9,10.444444444444445,0.3843,Sedang
Nursing,43,9500,1,140.0,125.7,1,0,1,1,1,19,7,8,5,11.2,7,8,5,11.2,0.3833,Sedang
Management,1,9147,1,121.0,116.8,0,0,1,1,0,20,5,14,3,12.4,5,8,5,10.833333333333334,0.3829,Sedang
Tourism,1,9254,1,123.0,125.1,0,0,1,0,0,19,6,12,4,11.0,6,6,4,12.5,0.3822,Sedang
Tourism,17,9254,1,135.0,135.0,1,0,1,1,0,20,6,8,6,11.833333333333334,6,9,5,10.4,0.3813,Sedang
Veterinary Nursing,17,9085,1,134.0,120.4,1,0,1,0,0,20,5,13,3,11.333333333333334,5,8,5,12.6,0.3806,Sedang
Social Service (evening),39,8014,0,133.1,116.5,0,0,1,1,1,24,6,6,4,12.25,6,10,4,11.5,0.3803,Sedang
Nursing,39,9500,1,133.1,100.5,1,0,1,1,0,43,8,8,7,11.635714285714286,8,8,7,11.635714285714286,0.3789,Sedang
Management,17,9147,1,136.0,122.7,1,0,1,1,0,18,5,6,5,12.0,5,7,4,12.5,0.3754,Sedang
Management,17,9147,1,120.0,112.0,0,0,1,0,0,20,5,10,4,11.0,5,7,4,11.5,0.3749,Sedang
Journalism and Communication,17,9773,1,133.1,117.0,0,0,1,0,0,21,6,8,5,11.8,6,8,5,11.833333333333334,0.3731,Sedang
Advertising and Marketing Management,1,9670,1,127.0,128.1,0,0,1,1,0,19,5,8,4,12.5,5,6,4,11.0,0.3718,Sedang
Advertising and Marketing Management,17,9670,1,125.0,118.4,1,0,1,0,1,19,5,8,3,10.5,5,6,4,11.75,0.3713,Sedang
Agronomy,39,9003,1,133.1,120.0,0,1,1,0,0,37,6,10,6,12.875,6,12,6,12.9,0.371,Sedang
Oral Hygiene,1,9556,1,135.0,131.5,0,0,1,1,1,21,7,14,5,11.2,8,11,6,11.583333333333334,0.3708,Sedang
Communication Design,1,9070,1,128.0,129.8,1,0,1,0,0,20,6,6,6,11.833333333333334,6,6,3,13.333333333333334,0.3682,Sedang
Tourism,1,9254,1,133.1,97.0,0,0,1,1,0,27,6,6,6,10.666666666666666,6,8,4,11.25,0.3676,Sedang
Nursing,1,9500,1,122.0,114.3,1,0,1,1,0,18,7,8,6,13.976666666666668,8,12,6,12.041666666666666,0.3659,Sedang
Management (evening),43,9991,0,134.0,113.7,0,0,1,0,0,32,5,5,5,10.2,5,9,4,11.25,0.3658,Sedang
Tourism,1,9254,1,137.0,125.1,1,0,1,0,0,18,6,10,4,11.75,6,9,5,11.2,0.3644,Sedang
Journalism and Communication,17,9773,1,144.0,130.7,1,0,1,0,0,20,6,9,6,11.666666666666666,6,8,5,11.6,0.3641,Sedang
Nursing,1,9500,1,122.0,114.8,1,0,1,0,1,19,7,11,4,12.65,7,9,5,11.1,0.3629,Sedang
Tourism,1,9254,1,112.0,113.8,1,0,1,0,0,21,6,10,6,10.833333333333334,6,10,4,11.0,0.3624,Sedang
Journalism and Communication,1,9773,1,145.0,131.7,1,0,1,0,0,18,6,7,6,12.666666666666666,6,8,4,12.25,0.3582,Sedang
Agronomy,17,9003,1,119.0,113.2,0,1,1,0,0,20,6,8,6,13.333333333333334,6,8,5,14.0,0.3571,Sedang
Management (evening),39,9991,0,130.0,148.0,0,0,1,0,1,31,5,11,4,11.25,5,10,4,10.833333333333334,0.3556,Sedang
Communication Design,17,9070,1,131.0,120.2,1,0,1,1,0,18,6,6,6,12.833333333333334,6,8,5,11.4,0.3541,Sedang
Nursing,1,9500,1,125.0,120.3,1,0,1,0,0,19,7,11,5,11.716666666666669,7,8,5,13.7,0.3505,Sedang
Management,1,9147,1,118.0,117.3,1,0,1,0,0,19,5,9,4,12.25,5,10,4,12.0,0.3497,Sedang
Animation and Multimedia Design,1,171,1,137.0,146.5,1,1,1,1,0,19,12,13,11,12.0,11,15,10,11.181818181818182,0.3496,Sedang
Agronomy,39,9003,1,133.1,140.0,0,1,1,1,0,24,6,10,6,14.88888888888889,6,11,6,13.727272727272728,0.3493,Sedang
Journalism and Communication,17,9773,1,128.0,125.2,1,0,1,1,0,18,6,6,6,12.666666666666666,6,7,5,13.6,0.3487,Sedang
Nursing,1,9500,1,126.0,120.1,1,0,1,0,0,19,7,12,4,13.375,7,8,6,12.116666666666667,0.3461,Sedang
Management,1,9147,1,117.0,117.0,1,0,1,1,0,19,5,5,4,10.75,5,6,4,12.25,0.3431,Sedang
Advertising and Marketing Management,1,9670,1,121.0,111.9,1,0,1,1,1,20,6,7,6,11.333333333333334,6,10,4,10.571428571428571,0.3429,Sedang
Basic Education,17,9853,1,119.0,110.6,0,0,1,0,0,20,7,9,6,11.833333333333334,7,7,6,14.333333333333334,0.3418,Sedang
Informatics Engineering,18,9119,1,136.0,125.2,1,0,1,1,0,19,5,9,5,11.833333333333334,5,9,5,14.714285714285714,0.3414,Sedang
Management,39,9147,1,110.0,140.0,0,0,1,0,0,41,5,14,4,14.5,5,12,5,13.0,0.3371,Sedang
Nursing,1,9500,1,149.0,138.0,0,0,1,1,0,18,8,11,6,13.496666666666668,8,11,6,13.496666666666668,0.3348,Sedang
Tourism,1,9254,1,125.0,122.9,0,0,1,1,1,19,6,7,6,11.166666666666666,6,12,3,11.666666666666666,0.3334,Sedang
Tourism,39,9254,1,160.0,100.0,0,0,1,1,0,26,6,7,6,12.0,6,8,5,10.8,0.3324,Sedang
Advertising and Marketing Management,43,9670,1,129.0,122.4,1,0,1,0,0,19,5,5,4,13.75,6,9,5,12.6,0.3314,Sedang
Agronomy,1,9003,1,144.0,132.8,0,0,1,1,1,19,6,9,4,12.0,6,10,4,12.5,0.3273,Sedang
Communication Design,17,9070,1,131.0,125.1,0,0,1,1,0,18,6,7,6,12.333333333333334,6,10,5,10.8,0.3269,Sedang
Social Service (evening),51,8014,0,133.1,104.0,0,1,1,0,0,42,11,14,10,11.9,11,14,10,12.8,0.3264,Sedang
Nursing,1,9500,1,138.0,127.5,1,0,1,0,0,19,7,10,5,12.94,7,7,5,13.76,0.3259,Sedang
Veterinary Nursing,1,9085,1,146.0,126.0,0,0,1,0,0,19,5,7,3,12.333333333333334,5,7,4,10.25,0.3258,Sedang
Veterinary Nursing,44,9085,1,140.0,140.0,1,0,1,0,0,20,6,9,6,12.666666666666666,6,10,4,11.5,0.3256,Sedang
Veterinary Nursing,1,9085,1,125.0,126.8,0,0,1,0,0,18,6,13,6,12.0,6,16,4,12.75,0.3231,Sedang
Basic Education,1,9853,1,123.0,115.3,1,0,1,0,0,20,7,8,6,13.5,7,8,6,14.0,0.3227,Sedang
Agronomy,42,9003,1,140.0,140.0,0,0,1,0,0,22,6,10,6,12.571428571428571,6,12,4,13.666666666666666,0.3226,Sedang
Nursing,17,9500,1,140.0,128.5,1,0,1,0,0,18,7,9,5,14.06,7,9,6,12.571428571428571,0.3224,Sedang
Veterinary Nursing,44,9085,1,140.0,140.0,0,0,1,0,0,20,6,7,6,14.285714285714286,6,9,3,13.0,0.3222,Sedang
Journalism and Communication,1,9773,1,132.0,124.3,1,0,1,0,0,19,6,6,5,12.2,6,7,5,10.8,0.3199,Sedang
Equinculture,44,9130,1,150.0,150.0,1,0,1,0,0,20,5,7,4,12.0,5,6,4,12.4,0.3197,Sedang
Nursing,1,9500,1,133.1,96.0,1,0,1,0,0,19,7,10,6,13.598333333333334,8,11,6,11.933333333333332,0.3167,Sedang
Basic Education,1,9853,1,140.0,124.6,1,0,1,0,0,18,7,7,6,11.666666666666666,7,8,6,13.5,0.3156,Sedang
Tourism,1,9254,1,140.0,130.0,0,0,1,1,0,21,6,8,6,12.571428571428571,6,10,4,13.0,0.3115,Sedang
Veterinary Nursing,1,9085,1,135.0,121.0,1,0,1,0,0,18,5,14,3,12.333333333333334,5,8,5,11.6,0.3084,Sedang
Social Service,43,9238,1,109.0,108.3,0,0,1,0,1,21,6,15,2,10.5,6,8,5,12.4,0.3063,Sedang
Management (evening),39,9991,0,130.0,115.2,0,0,1,1,0,24,5,5,4,12.0,5,6,5,12.666666666666666,0.3059,Sedang
Management (evening),39,9991,0,120.0,147.8,0,0,1,0,0,40,5,9,4,11.25,5,6,5,12.0,0.3046,Sedang
Nursing,1,9500,1,136.0,133.0,1,0,1,0,0,19,7,8,5,13.98,7,8,5,13.98,0.3041,Sedang
Nursing,17,9500,1,160.0,147.8,0,0,1,0,0,20,7,11,6,11.757142857142856,8,12,6,13.083333333333334,0.3029,Sedang
Basic Education,17,9853,1,125.0,128.5,1,0,1,0,0,18,7,9,6,11.5,7,8,7,12.714285714285714,0.3021,Sedang
Advertising and Marketing Management,1,9670,1,117.0,110.7,1,0,1,1,0,20,6,10,5,14.0,6,10,6,12.0,0.2985,Rendah
Management,1,9147,1,132.0,131.3,1,0,1,0,0,18,5,8,4,12.0,5,8,4,12.25,0.298,Rendah
Nursing,17,9500,1,136.0,125.7,1,0,1,0,0,20,7,8,6,13.548333333333334,8,11,6,14.775,0.2974,Rendah
Social Service (evening),1,8014,0,96.0,100.0,0,0,1,0,0,20,6,10,5,12.0,6,9,4,11.25,0.2963,Rendah
Social Service (evening),43,8014,0,120.0,100.0,0,0,1,0,0,45,9,13,8,11.0,7,10,6,10.833333333333334,0.2934,Rendah
Informatics Engineering,17,9119,1,122.0,114.7,0,0,1,1,0,20,5,6,5,15.8,5,8,5,13.714285714285714,0.2914,Rendah
Management (evening),39,9991,0,100.0,113.0,0,0,1,1,1,41,5,9,4,11.0,5,6,5,11.4,0.29,Rendah
Management,17,9147,1,125.0,125.7,0,0,1,0,0,20,5,7,5,11.166666666666666,5,9,4,10.75,0.2891,Rendah
Advertising and Marketing Management,1,9670,1,133.1,139.0,0,0,1,1,0,21,6,6,5,12.8,6,9,5,12.25,0.2885,Rendah
Communication Design,43,9070,1,125.0,133.4,1,0,1,1,1,19,6,6,4,13.0,6,7,5,12.2,0.2881,Rendah
Communication Design,17,9070,1,125.0,128.9,0,0,1,0,1,18,6,9,5,11.6,6,8,4,11.2,0.2872,Rendah
Nursing,17,9500,1,127.0,118.8,1,0,1,1,0,19,7,9,6,12.933333333333332,7,7,6,13.716666666666669,0.2867,Rendah
Nursing,1,9500,1,154.0,129.0,1,0,1,0,0,18,8,9,6,13.345,8,9,6,13.345,0.2863,Rendah
Management (evening),39,9991,0,140.0,110.0,0,0,1,0,1,35,5,9,3,11.666666666666666,5,7,5,11.8,0.2856,Rendah
Veterinary Nursing,5,9085,1,150.0,139.4,0,0,1,0,0,18,5,9,3,12.0,5,6,4,13.0,0.2856,Rendah
Management,17,9147,1,137.0,124.4,1,0,1,0,0,18,5,5,5,12.6,5,5,4,11.0,0.2842,Rendah
Veterinary Nursing,51,9085,1,120.0,125.0,0,0,1,0,0,28,6,8,6,14.428571428571429,6,12,4,15.6,0.2835,Rendah
Nursing,1,9500,1,117.0,117.4,1,0,1,0,0,19,7,12,5,11.8,7,9,6,11.708333333333334,0.2834,Rendah
Management (evening),39,9991,0,120.0,144.8,0,0,1,1,0,28,5,7,4,12.75,5,7,5,14.333333333333334,0.2805,Rendah
Biofuel Production Technologies,39,33,1,140.0,152.8,0,0,1,0,0,26,7,9,7,14.75,7,12,5,13.8,0.2802,Rendah
Advertising and Marketing Management,1,9670,1,143.0,144.1,1,0,1,0,0,19,6,7,5,12.6,6,10,5,12.375,0.2802,Rendah
Advertising and Marketing Management,5,9670,1,135.0,140.3,1,0,1,0,0,19,6,7,6,13.428571428571429,6,6,4,14.0,0.2782,Rendah
Tourism,1,9254,1,160.0,140.8,1,0,1,1,0,23,6,8,6,12.666666666666666,6,10,5,12.2,0.2758,Rendah
Management,16,9147,1,132.0,122.6,1,0,1,0,1,20,5,8,3,12.0,5,9,4,12.625,0.274,Rendah
Informatics Engineering,39,9119,1,130.0,134.0,0,0,1,1,1,24,5,8,5,11.833333333333334,5,8,4,14.0,0.2735,Rendah
Nursing,39,9500,1,100.0,121.3,1,0,1,0,0,34,8,11,7,11.705714285714285,8,11,7,11.705714285714285,0.2721,Rendah
Oral Hygiene,39,9556,1,160.0,130.0,0,0,1,0,0,25,7,14,7,11.95,8,15,7,12.042857142857144,0.2721,Rendah
